ean;id_offer;condition;price;currency;quantity;handling_time;delivery_time_min;delivery_time_max
8413887790582;PPE-8413887790582;100;90.66;PLN;17;2;3;8
8445484567939;PPE-8445484567939;100;110.37;PLN;5;2;3;8
8436612940854;PPE-8436612940854;100;226.14;PLN;2;2;3;8
3700628248545;PPE-3700628248545;100;242.67;PLN;25;2;3;8
4899888815440;PPE-4899888815440;100;288.84;PLN;50;2;3;8
8445402691975;PPE-8445402691975;100;1033.1;PLN;10;2;3;8
8435778900498;PPE-8435778900498;100;266.75;PLN;2;2;3;8
4899888814115;PPE-4899888814115;100;138.9;PLN;50;2;3;8
8413887266339;PPE-8413887266339;100;72.28;PLN;10;2;3;8
0887791196781;PPE-0887791196781;100;130.97;PLN;5;2;3;8
8445484567915;PPE-8445484567915;100;110.37;PLN;10;2;3;8
8412842543041;PPE-8412842543041;100;395.19;PLN;50;2;3;8
4899888817499;PPE-4899888817499;100;565.21;PLN;25;2;3;8
4899888814030;PPE-4899888814030;100;138.9;PLN;50;2;3;8
4016224150519;PPE-4016224150519;100;68.5;PLN;5;2;3;8
8435778900511;PPE-8435778900511;100;282.39;PLN;2;2;3;8
8436603195720;PPE-8436603195720;100;282.32;PLN;2;2;3;8
0197778893399;PPE-0197778893399;100;121.71;PLN;2;2;3;8
8033280490102;PPE-8033280490102;100;422.91;PLN;5;2;3;8
4000885709889;PPE-4000885709889;100;277.28;PLN;4;2;3;8
4899888817505;PPE-4899888817505;100;216.21;PLN;50;2;3;8
8033280490140;PPE-8033280490140;100;422.91;PLN;9;2;3;8
8445402692040;PPE-8445402692040;100;496.51;PLN;10;2;3;8
8033280490188;PPE-8033280490188;100;422.91;PLN;10;2;3;8
8412842543034;PPE-8412842543034;100;307.52;PLN;50;2;3;8
4899888817543;PPE-4899888817543;100;314.41;PLN;50;2;3;8
3700092678510;PPE-3700092678510;100;1580.74;PLN;8;2;3;8
